CB,Nombre,Charola,Posicion en Charola,Cantidad de Frentes,Altura,Ancho,Profundo
7501045400846,Atun Dolores aceite 295gr lata,1,1,1,5.00 cm,10.00 cm,2.00 cm
7506425612673,Kotex Notcurna Ultradelgada CA 10s,1,1,1,11.00 cm,14.50 cm,8.30 cm
7501045403014,ATUN DOLORES EN ACEITE 130GRS,1,2,1,3.30 cm,8.50 cm,8.50 cm
7506339394719,Naturella Nocturna con alas 8 pzas,1,2,1,12.80 cm,10.40 cm,9.00 cm
7501019006647,Saba UltraDelagada Nocturna calas 10pz,1,3,1,9.00 cm,10.50 cm,8.40 cm
7501045404271,Atun Mazatun Agua Sin Soya 130grs,1,3,1,3.39 cm,8.57 cm,2.00 cm
7501027286024,Desodorante Obao AntiT Hombre Rollon 65g,1,4,1,11.10 cm,4.00 cm,4.00 cm
7501045404066,DOLORES ENSALADA CON VERDURAS MAXI CUP CAN 240gr,1,4,1,4.30 cm,10.10 cm,2.00 cm
7501045403069,Dolores SURFY  Cup Can Elotitos 24/ 135 gr,1,5,1,4.60 cm,8.73 cm,2.00 cm
7791293025810,Desodorante AXE Fusion 150ml,1,5,1,13.50 cm,5.30 cm,5.30 cm
7501045402833,Ensalada Atun Mazatun  CupCan,1,6,1,4.70 cm,8.90 cm,2.00 cm
7791293032436,Desodorante Rexona AER 90gr,1,6,1,17.35 cm,4.50 cm,4.50 cm
7500435129947,Gillette Gel Mini Cool Wave 45gr,1,7,1,10.62 cm,5.64 cm,3.64 cm
7501954903421,Papel aluminio festivo rollo 76 m X 30 cm pz,1,7,1,31.50 cm,5.00 cm,5.00 cm
7500435143189,Secret Barra Powder Protect 45g,1,8,1,11.39 cm,5.65 cm,3.39 cm
7500435231237,SHAMPOO HEAD AND SHOULDERS ANTI-COMEZON 375ML,1,9,1,20.80 cm,7.40 cm,4.20 cm
7500435243155,PANTENE SHAMPOO KERATINA 175ML,1,10,1,16.90 cm,5.70 cm,4.00 cm
7501000904228,Alimento para bebe 2a Etapa Gerber 113 gr frasco Verduras con pollo y arroz,1,11,1,7.00 cm,5.90 cm,5.90 cm
7506306246065,Zest Neutro Antibacterial 135gr,1,12,1,6.44 cm,10.23 cm,2.92 cm
7501055304745,REFRESCO COCA-COLA 3 LT BOTELLA NO RETORNABLE COLA,1,13,1,35.50 cm,12.30 cm,12.30 cm
7501055317653,POWERADE MORAST,1,14,1,27.00 cm,8.50 cm,2.00 cm
7501055358861,FUZE TEA NEGRO SABOR LIMONT,1,15,1,25.50 cm,8.58 cm,2.00 cm
7501954906644,Cafe Molido Andatti 250gr,1,16,1,19.50 cm,8.50 cm,2.00 cm
650240064326,SUEROX MORA AZUL CON HIERBABUENA 1L,1,17,1,21.84 cm,8.12 cm,8.12 cm
7501011143586,CHEETOS TORCIDITOS 58GR,1,18,1,20.00 cm,11.00 cm,5.00 cm
7501011123588,DORITOS NACHO 61GR,1,19,1,21.00 cm,13.00 cm,6.00 cm
7501045403823,Atun Dorado Aceite 285grs,1,20,1,4.75 cm,10.15 cm,2.00 cm
7501058631961,NESTLE LA LECHERA CONDENSADA DOYPACK 209 GR,1,21,1,16.50 cm,10.00 cm,2.00 cm
7501943471900,Toallitas Humedas KBB Absorsec 120pz,1,22,1,6.30 cm,19.20 cm,10.00 cm
7502247337169,Papel Higienico Premier 225 hojas dobles 6 rollos,1,23,1,20.20 cm,30.00 cm,11.00 cm
7501045400846,Atun Dolores aceite 295gr lata,2,1,1,5.00 cm,10.00 cm,2.00 cm
7502271153605,PLC NUTRALAT FORTE 1.5 LT,2,1,1,24.50 cm,9.00 cm,2.00 cm
7501045403014,ATUN DOLORES EN ACEITE 130GRS,2,2,1,3.30 cm,8.50 cm,8.50 cm
7501954903292,PLC NUTRALAT FORTE 1LT,2,2,1,16.70 cm,10.00 cm,6.30 cm
7501045404271,Atun Mazatun Agua Sin Soya 130grs,2,3,1,3.39 cm,8.57 cm,2.00 cm
